ID,Coordinates (X),Coordinates (Y),Coordinates (Z),Region,Location,Puzzle Type,Description,Found
HR-308,-2918,0285,0207,Central Hyrule,Illumeni Plateau,Light Ring,"On the top of the stone pillar, between Illumeni Plateau and Seres Scablands",FALSE
HR-309,-3012,0584,0132,Central Hyrule,Tabantha Great Bridge,Lift Rock,Under the bridge,FALSE
HR-310,-2899,0557,0208,Central Hyrule,Tabantha Bridge Stable,Flowers,On the large mushroom,FALSE
HR-311,-2875,0498,0179,Central Hyrule,Tabantha Bridge Stable,Find Friend,On the ledge south of Tabantha Bridge Stable,FALSE
HR-312,-2598,0191,0147,Central Hyrule,Washa's Bluff,Find Friend,Campsite next to the path,FALSE
HR-313,-2640,-0317,0129,Central Hyrule,Washa's Bluff,Build Puzzle,Hill top next to Washa's Bluff,FALSE
HR-314,-2839,-0437,0052,Central Hyrule,Tamio River,Glide to Stump,Land on the platform on the rock in the middle of the river,FALSE
HR-315,-2711,-0496,0087,Central Hyrule,Tamio River,Rock Pattern,Place the rock to complete the design,FALSE
HR-316,-2601,-0668,0213,Central Hyrule,Rutile Lake,Lift Rock,Inside the dead tree trunk,FALSE
HR-317,-2536,-0629,0202,Central Hyrule,Rutile Lake,Flowers,On the small island in the middle of the lake,FALSE
HR-318,-2478,-0509,0222,Central Hyrule,Rutile Lake,Glide to Stump,"Atop the small hill, on a tree stump",FALSE
HR-319,-2351,-0742,0204,Central Hyrule,Satori Mountain,Lift Rock,Place the rock into the tree stump,FALSE
HR-320,-2278,-0402,0398,Central Hyrule,Satori Mountain,Lift Rock,On top of the mountain,FALSE
HR-321,-2830,0694,0244,Central Hyrule,Satori Mountain,Rock Pattern,On the ledge behind Makurukis Shrine,FALSE
HR-322,-2677,0888,0232,Central Hyrule,Satori Mountain,Glide to Stump,Dive in the lilypad circle,FALSE
HR-323,-2220,-0693,0205,Central Hyrule,Satori Mountain,Ascend Through Stump,Underneath a small cave,FALSE
HR-324,-2200,-0797,0170,Central Hyrule,Satori Mountain,Lift Rock,On top of a tree,FALSE
HR-325,-1969,-1090,0098,Central Hyrule,Dalite Forest,Flowers,By the 2 statues,FALSE
HR-326,-1820,-0973,0143,Central Hyrule,Safula Hill,Offer Item,At the base of the tree,FALSE
HR-327,-1556,0816,0062,Central Hyrule,Regencia River,Chase Lights,On a small hill overlooking,FALSE
HR-328,-1650,-0687,0139,Central Hyrule,Sanidin Park Ruins,Chase Lights,Fountain in Sanidin Park Ruins,FALSE
HR-329,-1403,-0453,0043,Central Hyrule,Nima Plain,Chase Lights,Under a big tree,FALSE
HR-330,-1968,-0593,0148,Central Hyrule,Nima Plain,Lift Rock,On top of peak,FALSE
HR-331,-1954,-0408,0206,Central Hyrule,Satori Mountain,Shoot Target,Acorn inside a hollow tree log,FALSE
HR-332,-1848, -0329,0162,Central Hyrule,Satori Mountain,Find Friend,Bring his friend back,FALSE
HR-333,-1798,-0317,0119,Central Hyrule,Nima Plain,Find Friend,Bring him up the hill to his friend,FALSE
HR-334,-1742,-0401,0121,Central Hyrule,Nima Plain,Lift Rock,On top of a tree,FALSE
HR-335,-2579,1247,0215,Central Hyrule,Upland Lindor,Light Ring,"Upland Lindor, Hill NW of Runakit Shrine",FALSE
HR-336,-2435,1137,0163,Central Hyrule,Upland Lindor,Block Puzzle,Cliffside south of Upland Lindor,FALSE
HR-337,-2232,1070,0107,Central Hyrule,Thundra Plateau,Build Puzzle,Stack the rocks to reach the leaves,FALSE
HR-338,-2341,0939,0105,Central Hyrule,Thundra Plateau,Burn Leaves,Throw a Fire Fruit at the pile of leaves and lift the stone to reveal the Korok,FALSE
HR-339,-2065,0770,0100,Central Hyrule,Ludfo's Bog,Chase Lights,On the ground beneath the mushroom,FALSE
HR-340,-2437,0512,0225,Central Hyrule,Seres Scablands,Burn Leaves,Top of tallest mushroom,FALSE
HR-341,-2201,0356,0148,Central Hyrule,Seres Scablands,Chase Lights,"Follow the red arrows, climb the mushroom, and examine the lights",FALSE
HR-342,-2224,1579,0170,Central Hyrule,Upland Lindor,Lift Rock,On an cliffside edge,FALSE
HR-343,-2023,1302,0283,Central Hyrule,Lindor's Brow,Chase Lights,On top of the dead tree,FALSE
HR-344,-1730,1163,0231,Central Hyrule,Lindor's Brow,Ascend Through Stump,On an overhang in front of Lindor's Brow Cave,FALSE
HR-345,-1289,0896,0099,Central Hyrule,Ludfo's Bog,Find Friend,On top of the mushroom,FALSE
HR-346,-2082,0482,0103,Central Hyrule,Hyrule Ridge,Find Friend,On the edge of the Ludfo's Bog,FALSE
HR-347,-2023,0077,0156,Central Hyrule,West Hyrule Plains,Chase Lights,Near Small enemy camp in West Hyrule Plains,FALSE
HR-348,-1863,-0094,0117,Central Hyrule,West Hyrule Plains,Chase Lights,Arrows signs pointing toward sparkles,FALSE
HR-349,-1703,-0083,0092,Central Hyrule,West Hyrule Plains,Lift Rock,Underneath the northern side of the bridge,FALSE
HR-350,-1646,0012,0123,Central Hyrule,West Hyrule Plains,Shoot Target,On top of a rock formation with a round opening,FALSE
HR-351,-1583,0223,0105,Central Hyrule,West Hyrule Plains,Build Puzzle,In the middle of three rocks,FALSE
HR-352,-1400,0074,0023,Central Hyrule,West Hyrule Plains,Build Puzzle,Ledge against the cliff,FALSE
HR-353,-1330,0536,0087,Central Hyrule,Breach of Demise Canyon,Shoot Target,Shoot the acorn hanging from the chain,FALSE
HR-354,-1163,0666,0067,Central Hyrule,North Hyrule Plain,Lift Rock,Place the boulder into the wooden holder,FALSE
HR-355,-1287,0897,0099,Central Hyrule,North Hyrule Plain,Lift Rock,On a tear in the geoglyph,FALSE
HR-356,-1434,1476,0193,Central Hyrule,Salari Hill,Find Friend,Top of Salari Hill,FALSE
HR-357,-1227,1577,0150,Central Hyrule,Salari Hill,Chase Lights,Stand on the rock between the 2 arrow signs and interact with the particle effect,FALSE
HR-358,-1075,1280,0122,Central Hyrule,Irch Plains,Offer Item,Statue under the tree,FALSE
HR-359,-1034,1083,0062,Central Hyrule,Irch Plains,Glide to Stump,"Starting at the Leaf-Marked Stump, land on top of the target",FALSE
HR-360,-0659,1184,0069,Central Hyrule,Irch Plains,Shoot Target,Across the moat to the West of Hyrule Castle,FALSE
HR-361,-0769,1414,0136,Central Hyrule,Irch Plains,Find Friend,Bring his friend back,FALSE
HR-362,-1052,2617,0033,Central Hyrule,Forgotten Temple,Build Puzzle,On top of the Forgotten Temple,FALSE
HR-363,-1147,2535,-0033,Central Hyrule,Forgotten Temple,Lift Rock,"Inside the forgotten temple, on top of the tree growing out of the wall",FALSE
HR-364,-1186,2482,-0100,Central Hyrule,Forgotten Temple,Lift Rock,"Inside the forgetten temple, inside the trench near the shrine underneath the giant collapse of rocks in a small passage",FALSE
HR-365,-0980,2239,0120,Central Hyrule,Rowan Plain,Find Friend,Next to Hyrule Restoration Materials,FALSE
HR-366,-0547,2225,0267,Central Hyrule,Aldor Foothills,Find Friend,Top of the hill,FALSE
HR-367,-0661,1978,0136,Central Hyrule,Aldor Foothills,Offer Item,There are three statues with bowls in front of them,FALSE
HR-368,-0577,2602,0385,Central Hyrule,Mount Drena,Build Puzzle,Atop Mount Drena,FALSE
HR-369,-0334,1746,0193,Central Hyrule,Elma Knolls,Chase Lights,In the ring of trees in Elma Knolls,FALSE
HR-370,-0041,1678,0142,Central Hyrule,Korok Forest,Lilypad Dive,"South of Korok Forest, at the ruins",FALSE
HR-371,-0480,3133,0120,Central Hyrule,Drenan Highlands,Rock Pattern,Along to trench in the Drenan Highlands,FALSE
HR-372,-0323,3158,0099,Central Hyrule,Drenan Highlands,Find Friend,Side of the hill,FALSE
HR-373,0018,3100,0167,Central Hyrule,Drenan Highlands,Find Friend,West of the bridge that leads to the Thyphlo Ruins,FALSE
HR-374,0060,3112,0190,Central Hyrule,Drenan Highlands,Glide to Stump,"At the western entrance to Thyphlo Ruins, on the pillar",FALSE
HR-377,0985,1805,0208,Central Hyrule,Minshi Woods,Shoot Target,Pinwheel on the ground next to two rocks,FALSE
HR-378,0939,1553,0150,Central Hyrule,Minshi Woods,Shoot Target,Under the wooden railway,FALSE
HR-379,0776,1529,0148,Central Hyrule,Rauru Hillside,Glide to Stump,On the top of the wooden building,FALSE
HR-380,0771,1416,0087,Central Hyrule,Rauru Hillside,Lift Rock,In the middle of the small island,FALSE
HR-381,0661,1373,0040,Central Hyrule,Rauru Settlement Ruins,Shoot Target,Inside the small building by the lake,FALSE
HR-382,0630,1166,0009,Central Hyrule,Rauru Settlement Ruins,Find Friend,Sitting under a makeshift tent on the riverbank,FALSE
HR-383,0399,1174,0009,Central Hyrule,Helmhead Bridge,Shoot Target,Under the bridge,FALSE
HR-384,0534,1109,0016,Central Hyrule,Helmhead Bridge,Find Friend,Sitting under an apple tree next to the river,FALSE
HR-385,0192,0899,0026,Central Hyrule,Hyrule Forest Park,Chase Lights,Small Water Fountain,FALSE
HR-386,0271,0700,0021,Central Hyrule,Boneyard Bridge,Shoot Target,Under the bridge,FALSE
HR-387,0133,0598,0027,Central Hyrule,Hyrule Cathedral,Shoot Target,Break the nut inside the fallen tree trunk,FALSE
HR-388,0347,0493,0041,Central Hyrule,Hylia River,Flowers,On top of a rampart ruin,FALSE
HR-389,0433,0482,0029,Central Hyrule,Hylia River,Find Friend,On the wooden platform by the bridge,FALSE
HR-390,0431,0596,0009,Central Hyrule,Crenel Hills,Find Friend,Under a tent near the river,FALSE
HR-391,0548,0510,0008,Central Hyrule,Orsedd Bridge,Lilypad Dive,In water under the bridge,FALSE
HR-392,0619,0755,0077,Central Hyrule,Crenel Hills,Chase Lights,Under the hollow log,FALSE
HR-393,0691,0625,0059,Central Hyrule,Crenel Hills,Flowers,Flower on the tree,FALSE
HR-394,0968,1025,0010,Central Hyrule,Crenel Hills,Lift Rock,"Inside the cave, accessible from water level",FALSE
HR-395,1071,0848,0017,Central Hyrule,Crenel Hills,Shoot Target,In the submerged skull in the river,FALSE
HR-396,841,693,128,Central Hyrule,Crenel Hills,Flowers,On a tree stump on top of the mountain,FALSE
HR-397,0974,0674,0084,Central Hyrule,Crenel Hills,Flowers,"On the southeast side of Crenel Hills, on a tree stump",FALSE
HR-398,0919,0410,0081,Central Hyrule,Crenel Hills,Ascend Through Stump,Inside Skull Rock,FALSE
HR-399,0713,0364,0009,Central Hyrule,Crenel Hills,Rock Pattern,On a small island in the river,FALSE
HR-400,1182,0378,0158,Central Hyrule,Crenel Peak,Burn Leaves,At the peak,FALSE
HR-401,1118,0229,0074,Central Hyrule,Crenel Peak,Flowers,On the tallest rock,FALSE
HR-402,1478,0440,0008,Central Hyrule,Crenel Peak,Shoot Target,"On the sandbar, inside a waterhole in the river",FALSE
HR-403,1515,0295,0035,Central Hyrule,Moor Garrison Ruins,Shoot Target,"On top of a pillar, use the falling rocks to get on top",FALSE
HR-404,1396,0127,0026,Central Hyrule,Moor Garrison Ruins,Burn Leaves,"In destroyed building, in the leaves",FALSE
HR-405,0761,0003,0031,Central Hyrule,Rebonae Bridge,Build Puzzle,Fix the roof using Ultrahand,FALSE
HR-406,0807,-0026,0011,Central Hyrule,Rebonae Bridge,Light Ring,Under the bridge,FALSE
HR-407,0957,-0203,0031,Central Hyrule,Crenel Plains,Find Friend,On a rocky outcrop by the forest,FALSE
HR-408,0821,-0329,0030,Central Hyrule,Crenel Plains,Chase Lights,On top of a small hill indicated by two red arrows by the river south of Wetland Stable,FALSE
HR-409,0929,-0365,0039,Central Hyrule,Crenel Plains,Rock Pattern,On a small hill,FALSE
HR-410,0890,-0556,0009,Central Hyrule,Crenel Plains,Find Friend,By the side of the river,FALSE
HR-411,1196,-0650,0020,Central Hyrule,Crenel Plains,Find Friend,Bring his friend to him,FALSE
HR-412,1114,-0731,0062,Central Hyrule,Crenel Plains,Shoot Target,On the underside of the eastern branch,FALSE
HR-413,0955,-0944,0009,Central Hyrule,Eagus Bridge,Build Puzzle,Drop down below the bridge to a rock,FALSE
HR-414,1018,-1184,0009,Central Hyrule,Nabi Lake,Find Friend,West of Nabi Lake,FALSE
HR-415,1032,-1311,0008,Central Hyrule,Nabi Lake,Lilypad Dive,Dive into the ring of flowers on the water,FALSE
HR-416,0844,-1291,0026,Central Hyrule,Tear of the Dragon 4,Lift Rock,Lone rock on a hill nearby (south-west of) the 3 large boulders,FALSE
HR-417,0734,-1503,0039,Central Hyrule,Tear of the Dragon 4,Shoot Target,In a tree,FALSE
HR-418,0585,-1581,0010,Central Hyrule,Squabble River,Find Friend,Bring his friend to him,FALSE
HR-419,0609,-1466,0047,Central Hyrule,Tear of the Dragon 4,Lift Rock,Carry the boulder up the hill and place into the tree,FALSE
HR-420,0629,-1161,0013,Central Hyrule,Batrea Lake,Shoot Target,Inside a fallen log by the lake,FALSE
HR-421,0588,-1234,0008,Central Hyrule,Batrea Lake,Build Puzzle,Inside a tree,FALSE
HR-422,0544,-1264,0011,Central Hyrule,Batrea Lake,Flowers,The dandelion on top of the pillar,FALSE
HR-423,0297,-1497,0010,Central Hyrule,Squabble River,Build Puzzle,Match the piece of wood next to the structure to complete the building's roof,FALSE
HR-424,0629,-0964 ,0012,Central Hyrule,Horwell Bridge,Find Friend,Reunite this Korok with his friend to the southeast near Nabi Lake,FALSE
HR-425,0333,-1284,0009,Central Hyrule,Owlan Bridge,Lift Rock,A rock below the bridge,FALSE
HR-426,0291,-1203,0027,Central Hyrule,Whistling Hill,Find Friend,On top of the hill near the river and the bridge,FALSE
HR-427,0215,-0883,0066,Central Hyrule,Whistling Hill,Chase Lights,On top of the hill,FALSE
HR-428,-0041,-1113,0022,Central Hyrule,Teniten Shrine,Find Friend,"Bring the Korok to his friend, to the south between Forest of Time and East Post Ruins",FALSE
HR-429,0625,-0751,0021,Central Hyrule,Bottomless Pond,Lift Rock,Next to the pond,FALSE
HR-430,0502,-0470,0063,Central Hyrule,Bottomless Pond,Lift Rock,On the cliff,FALSE
HR-431,0795,-0512,0010,Central Hyrule,Hylia River,Find Friend,Bring him to his friend across the river,FALSE
HR-432,0754,-0451,0030,Central Hyrule,Hylia River,Lift Rock,Top of the tallest tree,FALSE
HR-433,0292,-0247,0026,Central Hyrule,Ranch Ruins,Shoot Target,"Near Ranch Ruins, Log on the ground",FALSE
HR-434,0617,-0075,0053,Central Hyrule,Hylia River,Flowers,On Top of the Stone below the stone pillar,FALSE
HR-435,0075,-0325,0033,Central Hyrule,Mabe Village Ruins,Lift Rock,Remove the leaves and lift the rock,FALSE
HR-436,-0217,-0384,0052,Central Hyrule,Passeri Greenbelt,Lift Rock,Lift the large stone on top,FALSE
HR-437,-0306,-0547,0021,Central Hyrule,Passeri Greenbelt,Shoot Target,"Windvane Meadow, in a big tree",FALSE
HR-438,-0125,-0936,0043,Central Hyrule,Whistling Hill,Flowers,On top of tree stump,FALSE
HR-439,0124,1192,0033,Central Hyrule,Hyrule Castle Moat,Shoot Target,Under the small bridge,FALSE
HR-440,-0303,1123,0090,Central Hyrule,Sanctum,Glide to Stump,Land on the marker,FALSE
HR-441,-0296,1123,0008,Central Hyrule,Sanctum,Lilypad Dive,Waterway entrance to Docks,FALSE
HR-442,-0250,1066,0465,Central Hyrule,Hyrule Castle,Block Puzzle,The bell inside the main tower of Hyrule Castle,FALSE
HR-443,-0253,1061,0561,Central Hyrule,Hyrule Castle,Chase Lights,On the highest point of the castle,FALSE
HR-444,-0252,0944,0305,Central Hyrule,Hyrule Castle,Lift Rock,Under the stone bridge,FALSE
HR-445,-0391,0997,0319,Central Hyrule,Princess Zelda's Study,Shoot Target,In front of the window of Zelda's study room,FALSE
HR-446,-0383,0995,0391,Central Hyrule,Princess Zelda's Study,Chase Lights,On top of the spire above Princess Zelda's Study,FALSE
HR-447,-0436,1115,0024,Central Hyrule,Lockup,Shoot Target,On the edge of the cliffside cave,FALSE
HR-448,-0053,0971,0271,Central Hyrule,East Passage,Block Puzzle,Outer side of the ramparts,FALSE
HR-449,-0086,0912,0317,Central Hyrule,East Passage,Shoot Target,Flag on the wall,FALSE
HR-450,-0061,0866,0168,Central Hyrule,East Passage,Rock Pattern,On top of a spire of the ramparts,FALSE
HR-451,-0128,0813,0096,Central Hyrule,Dining Hall,Lift Rock,Under the bridge just outside the Dining Hall Balcony,FALSE
HR-452,0360,0886,0276,Central Hyrule,Guard's Chamber,Shoot Target,On top of the stairs,FALSE
HR-453,-0466,0850,0100,Central Hyrule,West Passage,Flowers,At the top of the spire,FALSE
HR-454,-0421,0843,0085,Central Hyrule,West Passage,Chase Lights,In the grass here,FALSE
HR-455,-0351,0830,0180,Central Hyrule,Guard's Chamber,Chase Lights,At the very top of the First Gatehouse's top spire,FALSE
HR-456,-0281,0841,0105,Central Hyrule,First Gatehouse,Lift Rock,Under the small bridge - behind the gates,FALSE
HR-457,-0344,0781,0053,Central Hyrule,First Gatehouse,Block Puzzle,Under entrance to the Guard's Chamber Entrance,FALSE
HR-458,-0272,0752,0130,Central Hyrule,Observation Room,Shoot Target,Small windmill on top of the eagle on the battlements,FALSE
HR-459,-0236,0632,0080,Central Hyrule,Hyrule Castle's Main Gate,Lift Rock,On the broken spire of Hyrule Castle's main gate,FALSE
HR-460,-0269,0608,0042,Central Hyrule,Hyrule Castle's Main Gate,Lilypad Dive,In the water on the west side of the bridge,FALSE
HR-461,-0255,0427,0029,Central Hyrule,Central Square,Lift Rock,In the middle of the fountain,FALSE
HR-462,-0313,0323,0024,Central Hyrule,Central Square,Lift Rock,Inside the building - remove leaves first,FALSE
HR-463,-0254,0258,0046,Central Hyrule,Central Square,Lift Rock,Lift the large stone on top of the gatehouse,FALSE
HR-464,-0086,0401,0027,Central Hyrule,Castle Town Watchtower,Ascend Through Stump,In the broken building,FALSE
HR-465,-0254,0424,0028,Central Hyrule, Lookout Landing,Offer Item,HESTU!! - You must find Hestu's first location and complete Hestu's Concerns to unlock his services. He will sometimes move locations, based on a hint,FALSE																	
HR-466, -1714,1067,0202,Central Hyrule,Lindor's Brow,Offer Item,HESTU!! - This is Hestu's FIRST location. After completing Hestu's Concerns and getting your first inventory upgrade, he will switch locations based on a hint.,FALSE																	
HR-467,-0751,1068,0044,Central Hyrule,Hyrule Castle Moat,Find Friend,Help him find his friend on the island to the south,FALSE
HR-468,-0774,0938,0017,Central Hyrule,Castle Town Prison,Find Friend,Take to Korok to his freind,FALSE
HR-469,-0667,0963,0010,Central Hyrule,Castle Town Prison,Shoot Target,On a small wooden boardwalk in the Castle Moat,FALSE
HR-470,0412,2124,0143,Central Hyrule,Great Hyrule Forest,Offer Item,HESTU!! - Hestu moves to the Korok Forest after it has been cleared of gloom if Hestu's Concerns has been completed,FALSE
HR-471,-0677,0859,0014,Central Hyrule,Castle Town Prison,Chase Lights,Prison ruins near the 3 statues,FALSE
HR-472,0942,0820,0027,Central Hyrule,Castle Town Prison,Light Ring,A stump on the top of the hill,FALSE
HR-473,-1015,0568,0010,Central Hyrule,Castle Town Prison,Rock Pattern,On the sandy river bank,FALSE
HR-474,-0616,0668,0010,Central Hyrule,Hyrule Castle Moat,Shoot Target,Under the bridge,FALSE
HR-475,-0530,0694,0033,Central Hyrule,West Castle Town,Lift Rock,On the ruined wall,FALSE
HR-476,-0665,0546,0025,Central Hyrule,Quarry Ruin,Build Puzzle,Assemble structure,FALSE
HR-477,-0777,0565,0080,Central Hyrule,Quarry Ruin,Chase Lights,Top of the mountain,FALSE
HR-478,-0525,0186,0062,Central Hyrule,Quarry Ruin,Flowers,Start at the top of the large hill,FALSE
HR-479,-0749,0199,0026,Central Hyrule,Mount Gustaf,Shoot Target,On the east side of Mount Gustaf,FALSE
HR-480,-0945,0348,0035,Central Hyrule,Mount Gustaf,Ascend Through Stump,In the small tunnel,FALSE
HR-481,-1099,0221,0050,Central Hyrule,Mount Gustaf,Shoot Target,Stone bridge west of Mount Gustaf,FALSE
HR-482,-1129,0018,0039,Central Hyrule,Giant's Forest,Lift Rock,North of the Giant's Forest,FALSE
HR-483,-0923,-0044,0106,Central Hyrule,Passeri Greenbelt,Lift Rock,At the back of the camp is a cliff overhanging with a single rock,FALSE
HR-484,-0794,-0013,0069,Central Hyrule,Passeri Greenbelt,Shoot Target,Near a goblin fort,FALSE
HR-485,-0425,-0148,0029,Central Hyrule,Passeri Greenbelt,Shoot Target,Stump with pinwheel in the grove,FALSE
HR-486,-1095,-0197,0042,Central Hyrule,Giant's Forest,Flowers,On the large fallen tree,FALSE
HR-487,-1353,-0192,0009,Central Hyrule,Sage Temple Ruins,Block Puzzle,Ruins of the Temple of the Elders,FALSE
HR-488,-1109,-0421,0062,Central Hyrule,Ancient Tree Stump,Light Ring,Small korok log on top of the Ancient Tree Stump,FALSE
HR-489,-1088,-0511,0055,Central Hyrule,Mount Daphnes,Shoot Target,Under bridge,FALSE
HR-490,-1111,-0569,0094,Central Hyrule,Mount Daphnes,Rock Pattern,On the western peak of Mount Daphnes,FALSE
HR-491,-1321,-0570,0011,Central Hyrule,Mount Daphnes,Find Friend,Bring his friend back from the south near Manhala Bridge,FALSE
HR-492,-0778,-0499,0017,Central Hyrule,Hyrule Garrison Ruins,Find Friend,Bring him to his friend,FALSE
HR-493,-0587,-0559,0024,Central Hyrule,Hyrule Garrison Ruins,Lift Rock,Under the rock upon the fountain,FALSE
HR-494,-0764,-0672,0029,Central Hyrule,Windvane Meadow,Lift Rock,On the largest tree in the woods,FALSE
HR-495,-1343,-0687,0010,Central Hyrule,Mount Daphnes,Lift Rock,On the side of the river behind a large rock,FALSE
HR-496,-1439,-0845,0019,Central Hyrule,Regencia River,Flowers,Catch the dandelion,FALSE
HR-497,-1544,-1004,0030,Central Hyrule,Manhala Bridge,Find Friend,Reunite with his friend to the north (near Mount Daphnes Well),FALSE
HR-498,-1588,-1004,0015,Central Hyrule,Manhala Bridge,Shoot Target,Under the eastern side of the bridge,FALSE
HR-499,-1770,-1242,0010,Central Hyrule,Regencia River,Lift Rock,On the small island in the middle of the river,FALSE
HR-500,-1658,-1320,0108,Central Hyrule,Outskirt Hill Well,Build Puzzle,North of the Outskirt Hill Well,FALSE
HR-501,-1764,-1447,0088,Central Hyrule,Outskirt Hill Well,Block Puzzle,Solve the block puzzle near the rivers edge,FALSE
HR-502,-1428,-1298,0036,Central Hyrule,Outskirt Stable,Shoot Target,Inside the logs,FALSE
HR-503,-1355,-1311,0046,Central Hyrule,Coliseum Ruins,Find Friend,Next to the Old Coliseum Ruins,FALSE
HR-504,-1319,-1259,0033,Central Hyrule,Coliseum Ruins,Offer Item,Between Outskirt Stable and Coliseum - find apple bowls,FALSE
HR-505,-1354,-1309,0046,Central Hyrule,Coliseum Ruins,Find Friend,Brind his freind in the west to him,FALSE
HR-506,-1053,-1327,0066,Central Hyrule,Coliseum Ruins,Flowers,Top of the broken pillar,FALSE
HR-507,-1518,-1509,0041,Central Hyrule,Outskirt Hill,Lift Rock,Top of the biggest tree with no leaves,FALSE
HR-508,-1688,-1601,-0010,Central Hyrule,Digdogg Suspension Bridge,Shoot Target,Under the stone bridge,FALSE
HR-509,-1702,-1706,-0037,Central Hyrule,Digdogg Suspension Bridge,Pull Plug,Pop the cork under the bridge,FALSE
HR-510,-1699,-1825,-0016,Central Hyrule,Digdogg Suspension Bridge,Lift Rock,On the cliff under the bridge,FALSE
HR-511,-1173,-1654,0082,Central Hyrule,Hopper Pond,Flowers,In the tree stump in the water,FALSE
HR-512,-0964,-1609,0100,Central Hyrule,Forest of Spirits,Shoot Target,"On the tree stump, step on fan",FALSE
HR-513,-0951,-1719,0096,Central Hyrule,Forest of Spirits,Build Puzzle,Attach something heavy on the loose end of the chain,FALSE
HR-514,-1151,-1781,0153,Central Hyrule,Great Plateau,Chase Lights,Around the tree,FALSE
HR-515,-0949,-1840,0090,Central Hyrule,Forest of Spirits,Ascend Through Stump,Inside a cave,FALSE
HR-516,-1024,-1856,0142,Central Hyrule,Great Plateau,Find Friend,Under a tent beside the Shrine of Resurrection Cave,FALSE
HR-517,-0694,-1573,0066,Central Hyrule,Chasm,Find Friend,Ground level - beside the patch of glooms,FALSE
HR-518,-0710,-1843,0095,Central Hyrule,Great Plateau,Glide to Stump,On the broken bridge,FALSE
HR-519,-0889,-1908,0106,Central Hyrule,Great Plateau,Lift Rock,On the stone pillar in the middle of the lake,FALSE
HR-520,-0811,-1966,0191,Central Hyrule,Temple of Time Ruins,Chase Lights,"At the very top of the Temple of Time, perch on the tallest tower's spire",FALSE
HR-521,-0832,-1962,0141,Central Hyrule,Temple of Time Ruins,Shoot Target,Shoot balloon inside tower from below,FALSE
HR-522,-1128,-1973,0144,Central Hyrule,River of Dead,Find Friend,Take him to his friend across the river,FALSE
HR-523,-1084,-2047,0143,Central Hyrule,River of Dead,Chase Lights,On the end of the pier in the water,FALSE
HR-524,-1515,-1922,0132,Central Hyrule,Mount Hylia,Lift Rock,Down on the cliff side under a rock,FALSE
HR-525,-1434,-1954,0218,Central Hyrule,Mount Hylia,Chase Lights,In the middle of the pond (freeze surface),FALSE
HR-526,-1178,-2089,0155,Central Hyrule,Mount Hylia,Find Friend,Bring back his friend,FALSE
HR-527,-1293,-2214,0312,Central Hyrule,Mount Hylia,Lift Rock,On the peak of the mountain,FALSE
HR-528,-1032,-2399,-0027,Central Hyrule,Chasm,Build Puzzle,Complete the stone squares with two rocks,FALSE
HR-529,-0927,-2205,0083,Central Hyrule,Bokoblins,Ascend Through Stump,In a small cave near Bokoblins - look for marked stump,FALSE
HR-530,-0885,-2255,0014,Central Hyrule,Mount Hylia,Build Puzzle,Use ultrahand to solve,FALSE
HR-531,-0789,-2232,0087,Central Hyrule,Yiga House,Offer Item,Three statues with bowls outside Yiga House,FALSE
HR-532,-0472,-2036,0072,Central Hyrule,Eastern Abbey,Build Puzzle,Abandoned buildings - complete metal puzzle,FALSE
HR-533,-0216,-2214,0032,Central Hyrule,Lake Hylia,Build Puzzle,Grab the wooden plank out of the tree crown and insert it into the empty spot on shed roof nearby,FALSE
HR-534,-0190,-2248,0020,Central Hyrule,Lake Hylia,Find Friend,Bring him to his friend south of the isle,FALSE
HR-535,-0226,-1917,0043,Central Hyrule,Scout's Hill,Chase Lights,On the edge of a hill,FALSE
HR-536,0002,-1893,0101,Central Hyrule,Scout's Hill,Flowers,On the top of the stairs of an abandonded building,FALSE
HR-537,-0103,-2292,0070,Central Hyrule,Gatehouse Tower,Lift Rock,Eastern broken down tower of the gatehouse,FALSE
HR-538,0062,-1754,0040,Central Hyrule,Scout's Hill,Lift Rock,"North of Scout's Hill, on the cliff",FALSE
HR-539,0047,-1696,0060,Central Hyrule,Scout's Hill,Find Friend,Bring him to his friend on the other side of the river,FALSE
HR-540,0147,-1610,0030,Central Hyrule,Proxim Bridge,Lift Rock,On the pillar at the western end of the bridge,FALSE
HR-541,-0154,-1528,0020,Central Hyrule,East Post Ruins,Find Friend,Bring his friend back,FALSE
HR-542,-0282,-1578,0052,Central Hyrule,East Post Ruins,Shoot Target,On top of a high-rise platform,FALSE
HR-543,-0458,-1653,0019,Central Hyrule,Outpost Ruins,Find Friend,Take the korok to his friend,FALSE
HR-544,-0509,-1696,0077,Central Hyrule,Outpost Ruins,Find Friend,Brind his friend back,FALSE
HR-545,-0611,-1525,0067,Central Hyrule,Forest of Time,Shoot Target,A nut hanging from the chain off the large tree (between tree and ruin wall),FALSE
HR-546,-0656,-1389,0053,Central Hyrule,Gatepost Town Ruins,Light Ring,"Top of the rock hill, there will be a wooden pedestal",FALSE
HR-547,-0665,-1222,0027,Central Hyrule,Lake Kolomo,Lift Rock,West from Lake Kolomo,FALSE
HR-548,-0516,-1187,0022,Central Hyrule,Lake Kolomo,Rock Pattern,In the middle of Lake Kolomo,FALSE
HR-549,-0598,-1077,0035,Central Hyrule,Lake Kolomo,Lift Rock,Top of the largest tree near the entryway of the Hyrule Field Skyview Tower,FALSE
